elev,shp,rie,elb,time,date,images
0.0,85.31,-3.19,2.66,66734.062,2023-11-05,11-05-2023-18-32-14-062.jpg
0.0,85.31,-3.19,2.66,66734.166,2023-11-05,11-05-2023-18-32-14-166.jpg
0.0,85.32,-3.18,2.66,66734.264,2023-11-05,11-05-2023-18-32-14-264.jpg
0.0,85.33,-3.17,2.66,66734.361,2023-11-05,11-05-2023-18-32-14-361.jpg
0.0,85.34,-3.16,2.66,66734.464,2023-11-05,11-05-2023-18-32-14-464.jpg
0.0,85.35,-3.15,2.67,66734.564,2023-11-05,11-05-2023-18-32-14-564.jpg
0.0,85.35,-3.15,2.66,66734.666,2023-11-05,11-05-2023-18-32-14-666.jpg
0.0,85.34,-3.19,2.61,66734.763,2023-11-05,11-05-2023-18-32-14-763.jpg
0.0,85.33,-3.22,2.57,66734.864,2023-11-05,11-05-2023-18-32-14-864.jpg
0.0,85.3,-3.27,2.54,66734.965,2023-11-05,11-05-2023-18-32-14-965.jpg
0.0,85.29,-3.29,2.51,66735.067,2023-11-05,11-05-2023-18-32-15-067.jpg
0.0,85.28,-3.31,2.48,66735.176,2023-11-05,11-05-2023-18-32-15-176.jpg
0.0,85.28,-3.32,2.47,66735.285,2023-11-05,11-05-2023-18-32-15-285.jpg
0.0,85.27,-3.34,2.45,66735.384,2023-11-05,11-05-2023-18-32-15-384.jpg
0.0,85.28,-3.34,2.45,66735.484,2023-11-05,11-05-2023-18-32-15-484.jpg
0.0,85.28,-3.34,2.43,66735.579,2023-11-05,11-05-2023-18-32-15-579.jpg
0.0,85.29,-3.34,2.42,66735.685,2023-11-05,11-05-2023-18-32-15-685.jpg
0.0,85.3,-3.35,2.39,66735.797,2023-11-05,11-05-2023-18-32-15-797.jpg
0.0,85.29,-3.37,2.37,66735.898,2023-11-05,11-05-2023-18-32-15-898.jpg
0.0,85.32,-3.34,2.37,66736.003,2023-11-05,11-05-2023-18-32-16-003.jpg
0.0,85.32,-3.35,2.35,66736.097,2023-11-05,11-05-2023-18-32-16-097.jpg
0.0,85.38,-3.29,2.36,66736.203,2023-11-05,11-05-2023-18-32-16-203.jpg
0.0,85.41,-3.25,2.37,66736.304,2023-11-05,11-05-2023-18-32-16-304.jpg
0.0,85.46,-3.22,2.36,66736.413,2023-11-05,11-05-2023-18-32-16-413.jpg
0.0,85.31,-3.56,1.98,66736.515,2023-11-05,11-05-2023-18-32-16-515.jpg
0.0,84.29,-5.62,0.06,66736.614,2023-11-05,11-05-2023-18-32-16-614.jpg
0.0,83.83,-6.57,1.02,66736.714,2023-11-05,11-05-2023-18-32-16-714.jpg
0.0,83.59,-7.07,1.52,66736.815,2023-11-05,11-05-2023-18-32-16-815.jpg
0.0,82.58,-9.19,3.48,66736.92,2023-11-05,11-05-2023-18-32-16-920.jpg
0.0,77.35,-18.36,10.36,66737.014,2023-11-05,11-05-2023-18-32-17-014.jpg
15.03,67.13,-31.79,13.89,66737.114,2023-11-05,11-05-2023-18-32-17-114.jpg
45.76,44.57,-52.95,12.68,66737.216,2023-11-05,11-05-2023-18-32-17-216.jpg
78.52,44.57,-52.95,8.56,66737.325,2023-11-05,11-05-2023-18-32-17-325.jpg
111.72,15.35,-61.72,14.0,66737.432,2023-11-05,11-05-2023-18-32-17-432.jpg
126.78,39.3,-43.78,8.17,66737.54,2023-11-05,11-05-2023-18-32-17-540.jpg
147.1,61.08,-13.54,25.8,66737.649,2023-11-05,11-05-2023-18-32-17-649.jpg
163.98,79.77,-4.37,28.06,66737.752,2023-11-05,11-05-2023-18-32-17-752.jpg
165.57,87.91,-12.34,28.26,66737.878,2023-11-05,11-05-2023-18-32-17-878.jpg
166.22,81.55,-2.38,20.75,66737.984,2023-11-05,11-05-2023-18-32-17-984.jpg
146.84,67.32,-17.97,7.72,66738.097,2023-11-05,11-05-2023-18-32-18-097.jpg
141.2,56.8,-30.0,2.9,66738.198,2023-11-05,11-05-2023-18-32-18-198.jpg
125.74,28.27,-55.52,5.22,66738.299,2023-11-05,11-05-2023-18-32-18-299.jpg
92.75,28.27,-55.52,1.57,66738.402,2023-11-05,11-05-2023-18-32-18-402.jpg
59.34,28.27,-55.52,9.72,66738.522,2023-11-05,11-05-2023-18-32-18-522.jpg
45.06,32.49,-56.96,6.11,66738.615,2023-11-05,11-05-2023-18-32-18-615.jpg
22.6,51.41,-39.85,3.7,66738.719,2023-11-05,11-05-2023-18-32-18-719.jpg
7.35,65.43,-25.11,2.41,66738.835,2023-11-05,11-05-2023-18-32-18-835.jpg
7.35,79.48,-5.93,7.98,66738.933,2023-11-05,11-05-2023-18-32-18-933.jpg
7.35,83.57,-2.48,7.07,66739.046,2023-11-05,11-05-2023-18-32-19-046.jpg
7.35,82.83,-3.95,5.73,66739.151,2023-11-05,11-05-2023-18-32-19-151.jpg
7.35,82.24,-5.45,3.87,66739.266,2023-11-05,11-05-2023-18-32-19-266.jpg
7.35,80.58,-8.74,0.92,66739.366,2023-11-05,11-05-2023-18-32-19-366.jpg
7.35,77.34,-13.57,1.98,66739.463,2023-11-05,11-05-2023-18-32-19-463.jpg
7.35,69.52,-28.62,15.28,66739.572,2023-11-05,11-05-2023-18-32-19-572.jpg
20.96,58.14,-41.72,15.87,66739.683,2023-11-05,11-05-2023-18-32-19-683.jpg
35.32,47.23,-51.59,17.43,66739.785,2023-11-05,11-05-2023-18-32-19-785.jpg
58.7,26.15,-75.32,12.62,66739.888,2023-11-05,11-05-2023-18-32-19-888.jpg
60.66,23.63,-75.22,8.7,66739.998,2023-11-05,11-05-2023-18-32-19-998.jpg
68.19,11.56,-75.22,9.77,66740.104,2023-11-05,11-05-2023-18-32-20-104.jpg
103.91,11.56,-78.4,5.03,66740.218,2023-11-05,11-05-2023-18-32-20-218.jpg
127.29,36.24,-32.39,14.49,66740.324,2023-11-05,11-05-2023-18-32-20-324.jpg
153.01,64.8,-15.61,16.15,66740.434,2023-11-05,11-05-2023-18-32-20-434.jpg
167.17,78.06,-1.98,18.65,66740.542,2023-11-05,11-05-2023-18-32-20-542.jpg
167.17,86.85,-9.28,23.61,66740.651,2023-11-05,11-05-2023-18-32-20-651.jpg
170.08,87.66,-9.66,23.2,66740.766,2023-11-05,11-05-2023-18-32-20-766.jpg
172.03,81.81,-1.83,18.75,66740.863,2023-11-05,11-05-2023-18-32-20-863.jpg
158.89,76.27,-6.58,13.23,66740.969,2023-11-05,11-05-2023-18-32-20-969.jpg
138.35,55.52,-31.49,2.12,66741.073,2023-11-05,11-05-2023-18-32-21-073.jpg
121.98,40.89,-45.83,1.06,66741.182,2023-11-05,11-05-2023-18-32-21-182.jpg
105.34,10.0,-66.52,7.0,66741.287,2023-11-05,11-05-2023-18-32-21-287.jpg
74.09,10.0,-66.52,10.36,66741.398,2023-11-05,11-05-2023-18-32-21-398.jpg
47.38,30.64,-50.24,0.33,66741.518,2023-11-05,11-05-2023-18-32-21-518.jpg
22.69,53.7,-35.28,2.77,66741.613,2023-11-05,11-05-2023-18-32-21-613.jpg
9.42,68.65,-20.16,0.23,66741.728,2023-11-05,11-05-2023-18-32-21-728.jpg
9.42,75.22,-14.28,0.17,66741.832,2023-11-05,11-05-2023-18-32-21-832.jpg
9.42,75.67,-14.52,1.5,66741.929,2023-11-05,11-05-2023-18-32-21-929.jpg
9.42,83.66,-3.79,4.31,66742.028,2023-11-05,11-05-2023-18-32-22-028.jpg
9.42,83.55,-4.09,4.09,66742.136,2023-11-05,11-05-2023-18-32-22-136.jpg
9.42,81.25,-8.78,0.25,66742.247,2023-11-05,11-05-2023-18-32-22-247.jpg
16.34,78.02,-13.15,3.72,66742.351,2023-11-05,11-05-2023-18-32-22-351.jpg
23.91,63.9,-34.13,14.54,66742.447,2023-11-05,11-05-2023-18-32-22-447.jpg
31.07,52.2,-44.83,11.35,66742.55,2023-11-05,11-05-2023-18-32-22-550.jpg
55.86,36.83,-61.3,13.8,66742.652,2023-11-05,11-05-2023-18-32-22-652.jpg
71.87,5.88,-61.3,13.09,66742.764,2023-11-05,11-05-2023-18-32-22-764.jpg
79.57,5.88,-61.3,6.82,66742.868,2023-11-05,11-05-2023-18-32-22-868.jpg
115.18,24.19,-60.45,4.39,66742.983,2023-11-05,11-05-2023-18-32-22-983.jpg
124.94,29.81,-60.14,0.13,66743.093,2023-11-05,11-05-2023-18-32-23-093.jpg
143.36,50.77,-32.42,10.12,66743.197,2023-11-05,11-05-2023-18-32-23-197.jpg
148.77,65.76,-17.83,13.41,66743.295,2023-11-05,11-05-2023-18-32-23-295.jpg
167.3,78.55,-4.66,12.72,66743.406,2023-11-05,11-05-2023-18-32-23-406.jpg
167.3,83.94,-1.94,14.58,66743.499,2023-11-05,11-05-2023-18-32-23-499.jpg
167.3,87.02,-6.31,17.66,66743.6,2023-11-05,11-05-2023-18-32-23-600.jpg
173.11,87.32,-7.04,18.66,66743.698,2023-11-05,11-05-2023-18-32-23-698.jpg
174.01,87.52,-7.5,19.14,66743.81,2023-11-05,11-05-2023-18-32-23-810.jpg
174.01,82.59,-0.02,13.67,66743.913,2023-11-05,11-05-2023-18-32-23-913.jpg
147.86,59.98,-29.37,1.74,66744.018,2023-11-05,11-05-2023-18-32-24-018.jpg
138.93,44.99,-37.74,1.19,66744.129,2023-11-05,11-05-2023-18-32-24-129.jpg
111.67,19.41,-61.86,7.91,66744.242,2023-11-05,11-05-2023-18-32-24-242.jpg
81.05,19.41,-61.86,9.35,66744.348,2023-11-05,11-05-2023-18-32-24-348.jpg
62.96,19.41,-61.86,12.09,66744.454,2023-11-05,11-05-2023-18-32-24-454.jpg
48.24,32.86,-55.94,5.76,66744.548,2023-11-05,11-05-2023-18-32-24-548.jpg
27.51,54.94,-35.45,3.42,66744.653,2023-11-05,11-05-2023-18-32-24-653.jpg
18.53,68.89,-21.37,2.97,66744.747,2023-11-05,11-05-2023-18-32-24-747.jpg
18.53,80.42,-7.66,2.85,66744.846,2023-11-05,11-05-2023-18-32-24-846.jpg
18.53,83.86,-4.16,3.3,66744.949,2023-11-05,11-05-2023-18-32-24-949.jpg
18.53,83.72,-4.64,2.58,66745.052,2023-11-05,11-05-2023-18-32-25-052.jpg
18.53,82.83,-5.96,1.74,66745.148,2023-11-05,11-05-2023-18-32-25-148.jpg
18.53,81.54,-8.09,0.13,66745.25,2023-11-05,11-05-2023-18-32-25-250.jpg
7.23,78.6,-12.43,2.9,66745.357,2023-11-05,11-05-2023-18-32-25-357.jpg
20.08,68.7,-29.53,15.98,66745.494,2023-11-05,11-05-2023-18-32-25-494.jpg
23.84,62.74,-37.18,16.98,66745.599,2023-11-05,11-05-2023-18-32-25-599.jpg
28.41,57.21,-42.24,15.32,66745.701,2023-11-05,11-05-2023-18-32-25-701.jpg
47.82,41.11,-59.58,15.25,66745.801,2023-11-05,11-05-2023-18-32-25-801.jpg
78.64,41.11,-59.58,2.77,66745.9,2023-11-05,11-05-2023-18-32-25-900.jpg
111.75,26.39,-57.16,0.73,66746.019,2023-11-05,11-05-2023-18-32-26-019.jpg
123.67,37.41,-48.1,2.39,66746.119,2023-11-05,11-05-2023-18-32-26-119.jpg
137.09,43.01,-41.01,4.57,66746.216,2023-11-05,11-05-2023-18-32-26-216.jpg
151.24,64.14,-18.43,14.78,66746.315,2023-11-05,11-05-2023-18-32-26-315.jpg
162.94,75.67,-6.23,16.02,66746.414,2023-11-05,11-05-2023-18-32-26-414.jpg
174.27,86.01,-4.82,16.85,66746.534,2023-11-05,11-05-2023-18-32-26-534.jpg
174.27,87.25,-6.25,17.06,66746.646,2023-11-05,11-05-2023-18-32-26-646.jpg
174.27,81.92,-1.12,13.1,66746.75,2023-11-05,11-05-2023-18-32-26-750.jpg
158.23,78.12,-7.37,8.88,66746.866,2023-11-05,11-05-2023-18-32-26-866.jpg
142.48,59.18,-32.18,3.73,66746.968,2023-11-05,11-05-2023-18-32-26-968.jpg
119.41,38.55,-51.33,3.86,66747.08,2023-11-05,11-05-2023-18-32-27-080.jpg
105.93,18.15,-65.06,2.8,66747.182,2023-11-05,11-05-2023-18-32-27-182.jpg
87.61,18.15,-65.06,3.99,66747.28,2023-11-05,11-05-2023-18-32-27-280.jpg
77.35,18.15,-65.06,5.79,66747.382,2023-11-05,11-05-2023-18-32-27-382.jpg
76.75,18.15,-65.06,5.55,66747.485,2023-11-05,11-05-2023-18-32-27-485.jpg
53.55,22.38,-66.86,5.18,66747.612,2023-11-05,11-05-2023-18-32-27-612.jpg
25.95,55.91,-36.99,6.09,66747.718,2023-11-05,11-05-2023-18-32-27-718.jpg
25.95,74.75,-15.37,1.07,66747.831,2023-11-05,11-05-2023-18-32-27-831.jpg
25.95,82.21,-5.18,4.44,66747.936,2023-11-05,11-05-2023-18-32-27-936.jpg
25.95,81.62,-7.01,2.09,66748.061,2023-11-05,11-05-2023-18-32-28-061.jpg
13.75,73.94,-18.84,6.88,66748.169,2023-11-05,11-05-2023-18-32-28-169.jpg
23.72,70.47,-22.38,7.81,66748.284,2023-11-05,11-05-2023-18-32-28-284.jpg
34.75,56.35,-41.35,15.07,66748.394,2023-11-05,11-05-2023-18-32-28-394.jpg
46.27,39.34,-60.89,20.91,66748.497,2023-11-05,11-05-2023-18-32-28-497.jpg
63.25,19.29,-60.89,16.25,66748.607,2023-11-05,11-05-2023-18-32-28-607.jpg
86.61,19.29,-60.89,7.63,66748.715,2023-11-05,11-05-2023-18-32-28-715.jpg
103.34,19.29,-60.89,3.22,66748.812,2023-11-05,11-05-2023-18-32-28-812.jpg
117.91,4.22,-60.89,3.3,66748.928,2023-11-05,11-05-2023-18-32-28-928.jpg
136.36,48.63,-33.36,11.07,66749.035,2023-11-05,11-05-2023-18-32-29-035.jpg
146.43,64.08,-17.17,16.73,66749.148,2023-11-05,11-05-2023-18-32-29-148.jpg
153.43,69.18,-14.44,12.31,66749.247,2023-11-05,11-05-2023-18-32-29-247.jpg
153.0,69.91,-13.96,11.9,66749.353,2023-11-05,11-05-2023-18-32-29-353.jpg
175.46,80.45,-1.01,15.75,66749.449,2023-11-05,11-05-2023-18-32-29-449.jpg
173.54,91.62,14.04,24.12,66749.559,2023-11-05,11-05-2023-18-32-29-559.jpg
178.77,92.64,14.93,23.88,66749.671,2023-11-05,11-05-2023-18-32-29-671.jpg
178.77,86.61,-6.22,18.16,66749.771,2023-11-05,11-05-2023-18-32-29-771.jpg
154.22,72.34,-16.47,0.97,66749.869,2023-11-05,11-05-2023-18-32-29-869.jpg
142.87,54.41,-33.38,0.14,66749.99,2023-11-05,11-05-2023-18-32-29-990.jpg
124.75,43.92,-38.92,2.08,66750.098,2023-11-05,11-05-2023-18-32-30-098.jpg
107.5,14.2,-61.97,9.4,66750.205,2023-11-05,11-05-2023-18-32-30-205.jpg
88.81,14.2,-61.97,6.71,66750.301,2023-11-05,11-05-2023-18-32-30-301.jpg
65.14,14.2,-61.97,12.25,66750.432,2023-11-05,11-05-2023-18-32-30-432.jpg
52.62,29.73,-60.19,9.15,66750.535,2023-11-05,11-05-2023-18-32-30-535.jpg
33.18,48.15,-42.12,3.52,66750.629,2023-11-05,11-05-2023-18-32-30-629.jpg
19.21,62.87,-28.27,3.64,66750.731,2023-11-05,11-05-2023-18-32-30-731.jpg
19.21,78.01,-10.6,2.25,66750.833,2023-11-05,11-05-2023-18-32-30-833.jpg
19.21,81.02,-7.66,2.04,66750.93,2023-11-05,11-05-2023-18-32-30-930.jpg
19.21,83.8,-5.27,1.41,66751.034,2023-11-05,11-05-2023-18-32-31-034.jpg
19.21,83.5,-5.33,1.87,66751.13,2023-11-05,11-05-2023-18-32-31-130.jpg
19.21,83.4,-5.13,2.46,66751.229,2023-11-05,11-05-2023-18-32-31-229.jpg
19.21,79.71,-10.9,1.82,66751.341,2023-11-05,11-05-2023-18-32-31-341.jpg
22.57,67.83,-30.25,15.48,66751.455,2023-11-05,11-05-2023-18-32-31-455.jpg
43.91,42.85,-57.82,17.51,66751.546,2023-11-05,11-05-2023-18-32-31-546.jpg
69.41,42.85,-57.82,10.04,66751.654,2023-11-05,11-05-2023-18-32-31-654.jpg
87.82,42.85,-57.82,6.8,66751.751,2023-11-05,11-05-2023-18-32-31-751.jpg
112.73,19.68,-67.06,4.32,66751.865,2023-11-05,11-05-2023-18-32-31-865.jpg
124.92,33.93,-51.87,3.96,66751.966,2023-11-05,11-05-2023-18-32-31-966.jpg
136.18,41.77,-38.44,11.92,66752.066,2023-11-05,11-05-2023-18-32-32-066.jpg
151.53,63.33,-18.67,14.57,66752.18,2023-11-05,11-05-2023-18-32-32-180.jpg
170.1,80.76,-1.86,14.0,66752.284,2023-11-05,11-05-2023-18-32-32-284.jpg
170.1,89.01,-8.55,18.27,66752.389,2023-11-05,11-05-2023-18-32-32-389.jpg
170.1,94.4,16.92,23.87,66752.481,2023-11-05,11-05-2023-18-32-32-481.jpg
178.92,95.17,18.78,26.27,66752.579,2023-11-05,11-05-2023-18-32-32-579.jpg
178.92,94.16,17.82,26.08,66752.679,2023-11-05,11-05-2023-18-32-32-679.jpg
178.92,85.54,-4.62,17.14,66752.782,2023-11-05,11-05-2023-18-32-32-782.jpg
165.86,79.91,-4.34,10.87,66752.905,2023-11-05,11-05-2023-18-32-32-905.jpg
162.13,77.18,-7.7,9.74,66753.014,2023-11-05,11-05-2023-18-32-33-014.jpg
160.87,75.96,-8.59,10.22,66753.118,2023-11-05,11-05-2023-18-32-33-118.jpg
152.35,55.28,-31.26,4.81,66753.217,2023-11-05,11-05-2023-18-32-33-217.jpg
114.48,29.75,-53.46,4.68,66753.332,2023-11-05,11-05-2023-18-32-33-332.jpg
90.51,29.75,-53.46,4.14,66753.44,2023-11-05,11-05-2023-18-32-33-440.jpg
57.59,19.5,-81.13,11.99,66753.547,2023-11-05,11-05-2023-18-32-33-547.jpg
21.58,32.2,-81.13,13.24,66753.649,2023-11-05,11-05-2023-18-32-33-649.jpg
15.12,60.52,-33.06,8.21,66753.749,2023-11-05,11-05-2023-18-32-33-749.jpg
15.12,74.26,-16.9,3.28,66753.861,2023-11-05,11-05-2023-18-32-33-861.jpg
15.12,81.72,-6.4,2.65,66753.973,2023-11-05,11-05-2023-18-32-33-973.jpg
15.12,83.18,-4.92,3.01,66754.067,2023-11-05,11-05-2023-18-32-34-067.jpg
5.66,83.3,-4.79,3.15,66754.166,2023-11-05,11-05-2023-18-32-34-166.jpg
7.58,81.9,-7.5,0.5,66754.28,2023-11-05,11-05-2023-18-32-34-280.jpg
13.31,79.45,-10.77,1.41,66754.382,2023-11-05,11-05-2023-18-32-34-382.jpg
20.04,66.81,-31.33,14.71,66754.501,2023-11-05,11-05-2023-18-32-34-501.jpg
29.83,56.63,-42.29,14.63,66754.599,2023-11-05,11-05-2023-18-32-34-599.jpg
46.38,41.86,-55.95,13.09,66754.716,2023-11-05,11-05-2023-18-32-34-716.jpg
62.66,23.99,-74.73,9.49,66754.813,2023-11-05,11-05-2023-18-32-34-813.jpg
73.21,14.13,-81.43,7.29,66754.917,2023-11-05,11-05-2023-18-32-34-917.jpg
74.25,14.52,-77.74,5.61,66755.014,2023-11-05,11-05-2023-18-32-35-014.jpg
105.77,4.88,-79.35,2.51,66755.117,2023-11-05,11-05-2023-18-32-35-117.jpg
122.38,22.78,-66.06,0.81,66755.223,2023-11-05,11-05-2023-18-32-35-223.jpg
144.41,56.84,-25.71,11.35,66755.332,2023-11-05,11-05-2023-18-32-35-332.jpg
