14.44,89.83,15-38-22-152,2.62,-1.16
14.44,89.84,15-38-22-276,2.58,-1.15
14.89,89.82,15-38-22-400,2.52,-1.10
14.90,89.82,15-38-22-516,2.41,-1.04
14.94,89.77,15-38-22-624,2.44,-1.02
15.37,89.73,15-38-22-750,2.40,-0.95
15.66,89.70,15-38-22-868,2.43,-0.94
16.19,89.66,15-38-22-980,2.37,-0.87
16.35,89.66,15-38-23-091,2.34,-0.85
16.45,89.66,15-38-23-213,2.32,-0.84
16.51,89.69,15-38-23-333,2.33,-0.87
16.54,89.73,15-38-23-483,2.36,-0.92
16.56,89.74,15-38-23-596,2.38,-0.94
16.58,89.74,15-38-23-708,2.35,-0.93
16.44,89.44,15-38-23-834,1.70,-0.32
11.21,85.77,15-38-23-949,1.27,-4.77
27.14,77.26,15-38-24-066,9.28,-16.85
31.06,65.90,15-38-24-183,7.03,-27.99
45.16,51.90,15-38-24-292,4.60,-40.35
53.97,41.55,15-38-24-399,3.80,-52.21
66.98,31.34,15-38-24-515,3.40,-66.32
78.53,26.51,15-38-24-625,7.97,-71.66
83.46,26.49,15-38-24-744,7.19,-71.63
86.13,26.66,15-38-24-866,8.62,-70.82
90.41,27.30,15-38-24-977,8.99,-66.83
95.51,29.05,15-38-25-103,6.21,-61.46
99.14,28.64,15-38-25-217,5.82,-60.57
97.14,31.58,15-38-25-327,7.58,-58.59
96.07,29.64,15-38-25-433,5.28,-63.23
95.49,27.27,15-38-25-545,5.20,-66.87
96.52,27.40,15-38-25-661,7.76,-66.87
96.90,26.94,15-38-25-780,8.18,-67.94
98.40,26.67,15-38-25-894,10.29,-67.30
102.02,26.21,15-38-26-013,12.23,-66.17
106.39,33.82,15-38-26-129,17.69,-56.88
107.85,44.71,15-38-26-242,23.27,-43.78
108.58,58.57,15-38-26-345,32.31,-28.66
107.09,65.91,15-38-26-472,33.70,-22.35
105.55,74.50,15-38-26-575,38.85,-12.48
104.09,81.43,15-38-26-694,59.32,-3.58
105.22,87.49,15-38-26-811,86.34,-9.36
103.69,91.27,15-38-26-929,132.01,11.45
102.53,93.49,15-38-27-044,160.84,16.01
102.23,94.35,15-38-27-162,166.68,17.32
100.61,92.84,15-38-27-285,167.00,13.97
100.22,92.90,15-38-27-415,162.26,15.97
100.60,88.38,15-38-27-531,126.54,-8.14
100.62,84.57,15-38-27-642,92.44,-6.34
102.10,67.12,15-38-27-742,25.10,-21.62
104.71,49.84,15-38-27-862,21.11,-40.50
106.20,38.10,15-38-27-964,17.21,-53.25
105.94,29.39,15-38-28-079,12.29,-62.87
105.44,24.81,15-38-28-199,12.71,-66.45
103.46,23.01,15-38-28-313,10.16,-71.06
101.02,25.54,15-38-28-427,6.60,-67.03
100.00,26.16,15-38-28-541,5.21,-66.72
98.90,29.59,15-38-28-666,4.07,-61.63
94.98,32.81,15-38-28-785,6.05,-57.62
93.16,33.83,15-38-28-894,7.54,-55.73
92.57,33.31,15-38-29-011,8.32,-57.13
93.12,28.86,15-38-29-148,9.66,-68.02
93.19,26.04,15-38-29-264,8.96,-74.32
95.65,25.08,15-38-29-385,12.36,-72.56
100.33,26.32,15-38-29-514,12.90,-68.95
104.38,41.01,15-38-29-634,20.29,-46.87
104.57,53.45,15-38-29-764,24.49,-33.82
104.11,70.08,15-38-29-881,39.97,-16.04
103.94,76.23,15-38-30-000,53.28,-9.52
104.41,83.29,15-38-30-125,87.89,-2.72
104.73,91.20,15-38-30-242,109.25,16.05
104.57,93.27,15-38-30-370,136.85,15.84
104.32,93.30,15-38-30-487,145.78,15.32
104.09,93.53,15-38-30-614,149.97,15.41
103.98,92.81,15-38-30-736,142.00,15.02
105.32,91.31,15-38-30-869,94.28,15.25
104.29,83.33,15-38-30-979,63.05,-0.17
103.48,66.75,15-38-31-091,25.57,-22.91
103.75,49.07,15-38-31-210,16.55,-42.97
104.15,38.75,15-38-31-328,13.09,-53.05
104.64,31.43,15-38-31-445,10.48,-60.21
104.55,25.04,15-38-31-563,9.00,-67.97
104.15,25.80,15-38-31-683,9.41,-67.89
100.93,30.97,15-38-31-794,4.51,-60.04
97.84,37.29,15-38-31-913,1.66,-51.75
95.70,41.06,15-38-32-012,3.24,-47.52
95.09,41.90,15-38-32-128,5.40,-47.25
94.89,41.77,15-38-32-226,6.78,-48.02
94.81,41.70,15-38-32-346,7.87,-48.43
94.63,41.58,15-38-32-470,8.63,-48.76
94.51,39.24,15-38-32-576,7.99,-53.11
95.56,30.55,15-38-32-692,8.43,-64.70
99.12,21.98,15-38-32-812,11.60,-80.26
103.38,29.18,15-38-32-931,16.01,-64.63
106.32,49.16,15-38-33-055,26.54,-38.65
106.34,61.00,15-38-33-164,30.34,-27.40
106.09,70.94,15-38-33-278,40.85,-17.31
106.29,78.42,15-38-33-393,56.24,-8.10
107.48,85.77,15-38-33-514,74.27,-4.87
108.22,89.92,15-38-33-629,83.78,-10.41
108.16,92.88,15-38-33-751,90.62,14.47
108.03,93.78,15-38-33-864,86.11,15.09
108.12,93.37,15-38-33-978,85.51,14.37
108.20,90.26,15-38-34-093,80.75,9.54
108.26,89.73,15-38-34-210,79.45,-8.98
108.14,87.23,15-38-34-333,63.39,-4.13
107.13,64.08,15-38-34-456,26.60,-26.97
106.22,45.57,15-38-34-591,15.69,-47.71
105.02,32.79,15-38-34-709,11.39,-57.91
104.23,25.44,15-38-34-836,9.22,-65.23
103.30,23.46,15-38-34-957,9.22,-66.40
102.33,22.49,15-38-35-077,9.38,-67.19
98.16,36.88,15-38-35-199,5.39,-49.92
95.28,39.70,15-38-35-311,4.58,-48.81
93.67,41.20,15-38-35-429,6.29,-47.76
93.38,40.31,15-38-35-545,8.30,-50.43
93.31,39.83,15-38-35-660,9.04,-51.33
93.49,34.82,15-38-35-762,8.57,-60.13
93.90,33.12,15-38-35-877,9.19,-61.81
94.06,35.02,15-38-35-980,9.77,-57.96
94.16,35.72,15-38-36-092,9.94,-56.68
96.76,29.83,15-38-36-214,14.01,-63.08
101.17,34.39,15-38-36-340,20.30,-58.83
102.39,58.84,15-38-36-473,32.34,-29.94
102.34,71.30,15-38-36-611,42.59,-16.89
102.51,79.46,15-38-36-714,70.54,-7.70
104.69,86.40,15-38-36-835,96.00,-6.28
105.11,93.20,15-38-36-959,112.07,18.15
105.28,94.35,15-38-37-081,128.57,20.82
105.39,94.33,15-38-37-194,134.73,20.99
105.37,93.40,15-38-37-312,128.80,19.39
106.68,89.61,15-38-37-429,95.66,-14.20
104.41,79.37,15-38-37-542,56.71,-2.39
103.58,62.85,15-38-37-660,17.37,-28.28
103.12,50.03,15-38-37-780,13.38,-43.03
102.83,40.49,15-38-37-894,13.49,-51.47
102.48,30.96,15-38-38-015,12.86,-61.86
101.35,24.29,15-38-38-133,10.60,-69.91
100.78,24.55,15-38-38-256,10.23,-68.19
99.17,31.14,15-38-38-361,8.80,-60.47
97.02,36.96,15-38-38-490,8.59,-53.43
96.29,38.30,15-38-38-606,9.21,-52.81
95.97,36.73,15-38-38-726,9.89,-56.12
95.54,34.55,15-38-38-827,9.44,-59.73
95.14,32.90,15-38-38-943,8.88,-61.79
95.39,30.52,15-38-39-067,8.67,-63.65
97.67,25.15,15-38-39-192,10.33,-70.16
101.97,26.49,15-38-39-293,15.12,-65.71
104.61,37.56,15-38-39-413,21.22,-50.43
104.24,58.83,15-38-39-524,29.23,-28.76
104.25,68.65,15-38-39-648,34.94,-20.08
104.53,77.18,15-38-39-760,51.48,-3.57
104.99,82.97,15-38-39-883,57.64,-0.13
107.82,89.52,15-38-40-010,81.59,-10.40
107.27,93.51,15-38-40-139,100.61,16.06
107.01,94.21,15-38-40-246,105.53,16.76
106.83,92.93,15-38-40-362,97.46,16.13
108.14,90.45,15-38-40-458,81.32,13.74
104.94,83.85,15-38-40-573,63.97,-4.04
103.58,64.94,15-38-40-692,9.59,-25.26
102.88,48.84,15-38-40-807,12.74,-43.23
102.56,39.47,15-38-40-927,11.89,-52.21
101.98,29.36,15-38-41-059,10.83,-63.37
101.01,28.05,15-38-41-184,10.09,-63.59
99.16,28.68,15-38-41-299,7.90,-63.18
96.67,34.22,15-38-41-425,6.90,-58.61
95.34,37.84,15-38-41-543,7.83,-54.60
94.93,38.47,15-38-41-642,8.73,-54.84
94.79,37.63,15-38-41-758,9.49,-57.50
94.45,37.99,15-38-41-873,10.32,-57.18
94.27,33.89,15-38-41-981,9.59,-65.28
94.22,31.44,15-38-42-099,9.39,-68.63
94.30,31.69,15-38-42-235,9.56,-67.45
94.70,31.89,15-38-42-361,10.58,-64.85
97.25,32.69,15-38-42-487,15.74,-62.31
100.16,42.79,15-38-42-619,24.50,-49.03
100.48,51.16,15-38-42-740,30.21,-39.83
100.90,69.82,15-38-42-865,52.01,-16.14
104.81,84.13,15-38-42-978,89.05,-5.95
107.24,89.99,15-38-43-096,96.51,-14.01
106.59,94.03,15-38-43-213,115.47,18.82
106.13,94.03,15-38-43-326,124.91,17.62
105.88,93.67,15-38-43-446,129.00,17.08
106.26,93.99,15-38-43-566,128.59,18.19
106.02,93.29,15-38-43-686,126.95,16.61
106.37,91.92,15-38-43-814,103.13,15.67
103.68,86.43,15-38-43-933,87.68,-7.75
100.71,64.88,15-38-44-066,28.23,-25.53
98.92,41.65,15-38-44-177,18.30,-54.15
97.92,31.46,15-38-44-276,15.15,-63.57
97.71,27.69,15-38-44-399,13.94,-69.29
97.51,27.72,15-38-44-511,13.73,-69.13
96.76,29.88,15-38-44-624,13.37,-64.82
95.34,40.71,15-38-44-740,13.73,-48.23
94.21,41.60,15-38-44-845,12.73,-48.45
93.84,38.20,15-38-44-960,11.34,-55.57
93.63,35.40,15-38-45-079,10.53,-58.46
93.62,33.57,15-38-45-198,10.21,-59.59
93.63,33.28,15-38-45-318,10.03,-59.34
93.67,32.65,15-38-45-462,9.75,-60.30
93.89,32.89,15-38-45-600,9.87,-59.07
98.72,33.14,15-38-45-728,18.02,-60.40
101.63,46.85,15-38-45-857,26.65,-42.53
102.44,64.61,15-38-45-970,38.55,-22.74
102.51,75.86,15-38-46-100,53.42,-11.27
104.83,87.65,15-38-46-212,88.91,-7.85
105.79,92.96,15-38-46-336,106.89,15.48
105.02,93.91,15-38-46-469,128.82,16.39
104.74,94.12,15-38-46-578,133.12,16.78
104.40,93.98,15-38-46-706,140.86,16.43
104.11,93.47,15-38-46-814,138.89,15.94
104.19,89.07,15-38-46-929,121.11,-9.04
102.21,87.32,15-38-47-043,96.71,-7.09
100.76,73.73,15-38-47-164,39.64,-14.98
100.13,71.43,15-38-47-277,32.33,-16.99
99.73,57.50,15-38-47-394,22.44,-33.99
98.79,37.66,15-38-47-499,15.00,-56.23
97.45,27.10,15-38-47-616,10.77,-70.61
95.05,24.78,15-38-47-733,7.18,-74.35
92.95,27.97,15-38-47-841,7.88,-66.74
91.93,26.65,15-38-47-960,9.71,-71.53
90.78,28.46,15-38-48-075,11.91,-70.03
90.12,28.91,15-38-48-198,13.46,-69.47
89.53,28.54,15-38-48-315,14.36,-71.42
88.80,26.93,15-38-48-427,14.63,-76.72
88.12,25.53,15-38-48-543,13.93,-81.72
88.54,24.31,15-38-48-662,14.95,-87.80
89.33,23.91,15-38-48-778,16.17,-79.48
91.79,26.86,15-38-48-891,20.62,-72.25
93.81,40.58,15-38-49-009,28.33,-50.11
95.39,47.81,15-38-49-131,34.72,-42.98
97.02,67.67,15-38-49-246,53.37,-20.08
97.83,80.14,15-38-49-365,74.26,-3.26
101.86,93.29,15-38-49-478,126.89,18.11
100.56,94.36,15-38-49-596,172.15,14.61
100.14,96.53,15-38-49-717,173.43,18.44
100.72,96.95,15-38-49-827,162.74,16.50
101.27,96.42,15-38-49-942,162.89,14.77
102.70,94.78,15-38-50-061,178.14,13.04
102.76,89.55,15-38-50-174,124.89,-5.50
102.45,78.43,15-38-50-293,50.23,-5.94
101.48,62.14,15-38-50-427,25.80,-29.61
100.56,44.61,15-38-50-545,20.76,-49.53
99.94,31.05,15-38-50-661,17.10,-64.87
99.66,26.42,15-38-50-778,16.47,-69.40
99.50,26.46,15-38-50-894,16.36,-69.06
99.12,24.62,15-38-51-011,15.62,-73.58
96.03,26.88,15-38-51-141,10.52,-70.17
93.74,25.09,15-38-51-260,8.40,-73.47
91.98,23.78,15-38-51-375,8.89,-77.12
90.66,24.11,15-38-51-497,11.00,-78.20
90.02,25.09,15-38-51-618,13.03,-76.16
90.73,23.30,15-38-51-741,14.14,-76.51
91.06,21.86,15-38-51-863,13.09,-78.20
93.09,23.97,15-38-51-977,14.47,-73.09
97.55,33.27,15-38-52-099,22.08,-55.98
99.64,47.00,15-38-52-213,29.59,-43.53
100.25,64.14,15-38-52-328,41.53,-23.84
100.70,76.95,15-38-52-445,64.02,-9.38
100.93,87.57,15-38-52-563,108.04,-5.10
101.64,92.95,15-38-52-676,132.57,14.29
101.56,92.99,15-38-52-796,140.75,13.80
101.81,95.43,15-38-52-913,171.81,16.15
101.81,95.52,15-38-53-032,173.61,15.84
101.61,93.07,15-38-53-146,158.17,12.24
101.60,92.84,15-38-53-265,152.15,12.65
102.09,88.73,15-38-53-379,113.43,-13.30
99.88,72.05,15-38-53-494,48.22,-15.89
99.75,54.94,15-38-53-625,28.27,-37.21
99.89,39.21,15-38-53-745,22.03,-53.09
99.41,30.93,15-38-53-866,18.53,-62.75
98.22,24.46,15-38-53-978,15.35,-72.42
95.67,21.48,15-38-54-097,11.57,-78.61
93.72,23.98,15-38-54-212,11.17,-70.84
91.84,24.59,15-38-54-327,13.71,-73.21
90.85,27.41,15-38-54-444,16.32,-69.04
90.61,27.52,15-38-54-562,17.73,-69.13
90.50,27.31,15-38-54-677,18.15,-69.98
90.36,27.39,15-38-54-800,18.54,-69.77
89.27,29.97,15-38-54-914,18.43,-63.27
88.38,28.49,15-38-55-032,17.87,-66.98
87.66,24.81,15-38-55-157,16.99,-73.93
87.94,21.12,15-38-55-278,17.30,-82.39
88.97,28.11,15-38-55-389,19.97,-65.89
92.19,47.61,15-38-55-496,33.08,-42.34
94.68,70.07,15-38-55-615,64.72,-19.53
95.86,87.89,15-38-55-726,138.88,-7.42
97.55,96.21,15-38-55-844,173.03,20.53
97.76,100.11,15-38-55-970,152.21,23.58
97.73,97.88,15-38-56-094,159.49,19.67
97.05,95.80,15-38-56-214,161.48,13.21
96.53,93.07,15-38-56-328,177.83,11.69
96.61,88.39,15-38-56-449,144.84,-5.08
96.77,87.13,15-38-56-576,129.24,-3.88
96.49,72.53,15-38-56-697,53.98,-17.03
96.32,51.56,15-38-56-815,28.44,-41.79
95.81,28.77,15-38-56-934,18.54,-68.35
94.54,18.86,15-38-57-044,15.68,-78.49
93.72,16.58,15-38-57-162,15.11,-85.84
93.14,17.62,15-38-57-275,15.17,-81.89
92.61,20.36,15-38-57-401,15.16,-77.02
91.87,23.42,15-38-57-518,14.52,-73.83
90.67,23.59,15-38-57-642,13.57,-76.59
89.96,23.33,15-38-57-757,13.43,-78.29
89.57,23.35,15-38-57-877,14.35,-77.92
89.43,20.74,15-38-57-992,14.90,-77.92
89.51,20.73,15-38-58-111,15.32,-86.41
90.43,21.25,15-38-58-225,16.46,-76.62
91.67,24.93,15-38-58-342,18.89,-70.84
92.65,36.16,15-38-58-465,22.55,-54.24
94.94,58.57,15-38-58-579,39.71,-29.82
96.16,72.43,15-38-58-692,60.67,-14.31
96.32,82.12,15-38-58-812,106.73,-5.07
97.13,90.64,15-38-58-927,158.13,8.74
97.19,96.49,15-38-59-046,164.57,17.87
96.82,96.14,15-38-59-165,163.36,16.24
